well position(Plate/Well),Bacteria code,Sample number ,Culture condition ,Sequence ID,Best hit name,Source,Taxonomy
P1D1,419AECM1,419,AE,89CE69,Staphylococcus pasteuri strain BJ-DEBCR-27 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D10,393ANMR3,393,AN,89CE56,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D11,393ANTS4,393,AN,89CE57,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D12,393ANMR4,393,AN,89CE58,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D2,393AECB19,393,AE,89CE48,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1D3,393AECB18,393,AE,85GH44,Staphylococcus aureus Oral Taxon 550 (eHOMD 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1D4,393AEMR3,393,AE,89CE34,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D5,393AEMR1,393,AE,89CE32,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D6,393AEMR2,393,AE,89CE33,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D7,393AEMR4,393,AE,89CE35,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D8,393ANMR1,393,AN,89CE54,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1D9,393ANTS1,393,AN,89CE55,Pseudomonas aeruginosa strain S1,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1E1,407ANCB1,407,AN,89CE59,Cellulosimicrobium sp. strain RB18 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Promicromonosporaceae; Cellulosimicrobium.
P1E10,393ANBT2,393,AN,89CE68,Staphylococcus aureus strain SSW23,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1E11,393ANCM2,393,AN,85GH46,Staphylococcus aureus (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1E12,393ANTS2,393,AN,85GH47,Staphylococcus aureus (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1E2,393ANCB2,393,AN,89CE60,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1E3,393ANCB3,393,AN,89CE61,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1E4,393ANMR5,393,AN,89CE62,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1E5,393ANCB5,393,AN,89CE63,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1E6,393ANCM4,393,AN,89CE64,Uncultured Actinomyces sp. clone BL006B55 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; 
P1E7,393ANBT1,393,AN,89CE65,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1E8,393ANCM1,393,AN,89CE66/85GH45,Pseudomonas aeruginosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1E9,393ANBT4,393,AN,89CE67,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F1,398MICB1,398,MI,89CH96,Staphyllococcus saprophyticus G81,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F10,398AEMR1,398,AE,89CJ29(g) (FAILED)/85GH48,Staphylococcus saprophyticus subsp. saprophyticus (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1F11,398AEBH1,398,AE,89CJ31(g) (FAILED)/85GH49,Staphylococcus saprophyticus subsp. saprophyticus (SILVA 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1F12,444MITS1,444,MI,89CF32/89CI02(P),Rothia dentocariosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia.
P1F2,398MICB3,398,MI,89CH97/89CJ34(g),Staphylococcus succinus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F3,398MIBH1,398,MI,89CH95,Staphylococcus saprophyticus G54,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F4,398MITS1,398,MI,89CH94/89CJ35(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F5,398ANCM1,398,AN,89CJ36(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F6,409ANCM1,409,AN,89CJ27(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F7,422ANCM1,422,AN,89CJ37(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F8,409MIBH1,409,MI,89CJ28(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1F9,398AETS1,398,AE,89CH98,Staphylococcus saprophyticus G54,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1G1,444MITS4,444,MI,89CF39,Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G10,447MIDB4,447,MI,89CF44/89CH99(P),Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G11,447MIDB5,447,MI,89CF45/89CI00(P),Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G12,446MITS1,446,MI,89CF34/ 89CF68 (P),Streptococcus gordonii,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P1G2,447MITS1,447,MI,89CF29,Proteus mirabilis AMJ 213 (99% ID),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G3,447MITS4,447,MI,89CF41,Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G4,447MITS5,447,MI,89CF31,Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G5,398MIMR1,398,MI,89CJ32(g)/85GH50,Staphylococcus saprophyticus subsp. saprophyticus (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1G6,398MIMR2,398,MI,89CJ33(g),Enterococcus villorum,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus 
P1G7,422MIMR1,422,MI,89CJ39 (g),Staphylococcus sp. NS2,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1G8,447MIDB1,447,MI,89CF42/89CF73(P),Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1G9,447MIDB2,447,MI,89CF43,Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P1H1,422MICB1,422,MI,89CF35,Staphylococcus saprophyticus G81,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1H10,444MIDB1,444,MI,89CI46 (g),Rothia dentocariosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia.
P1H11,444ANCV1,444,AN,89CF64,Streptococcus sp. HFM0004,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P1H12,447MIDB6,447,MI,89CF67/89CI04(P),Pseudomonas aeruginosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1H2,398AECB1,398,AE,89CF36/89CF71(P)/89CJ30(g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1H3,398MICB2,398,MI,89CF38/89CF72,Staphylococcus capitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1H4,409AECB1,409,AE,89CH93,Staphylococcus sp. C67,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1H5,447ANCB6,447,AN,89CF54/89CI03(P),Veillonella atypica OK5,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P1H6,444ANCB6,444,AN,89CF57,Veillonella dispar,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P1H7,447ANBT4,447,AN,89CF63,Veillonella dispar/atypica,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P1H8,444ANCB7,444,AN,89CF58,Streptococcus sp. HFM0004,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P1H9,444MIDB2,444,MI,89CJ40 (g),Staphylococcus saprophyticus,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P2A1,444ANBT6,444,AN,89CF62,Veillonella parvula,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2A10,444ANBT2,444,AN,89CF61/89CI16,Veillonella dispar/parvula,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2A11,447ANCB2,447,AN,89CF49/89CI14,Enterococcus faecalis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus 
P2A12,444ANBT1,444,AN,89CI30 (g),Streptococcus sp. HFH0004,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P2A2,447ANCV5,447,AN,89CF66,Proteus mirabilis 6907,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus.
P2A3,444ANCB10,444,AN,89CF60,Veillonella parvula,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2A4,447ANBT3,447,AN,89CI29 (g),Lactobacillus rhamnosus SN 6,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus 
P2A5,447ANBT6,447,AN,89CI12,Veillonella atypica ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2A6,444ANCV2,444,AN,89CF65/89CJ42(g),Veillonella parvula,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2A7,447ANCB3,447,AN,89CI10,Actinomyces naeslundii,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces
P2A8,444MITS3,444,MI,89CI08,Rothia dentocariosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia.
P2A9,444ANCB9,444,AN,89CF59/89CI15,Prevotella melaninogenica,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella.
P2B1,444ANBT13,444,AN,89CI34 (g),Scardovia wiggisiae 29D03,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia
P2B10,444ANCB5,444,AN,89CI42 (g),Lactobacillus rhamnosus SN 6,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus 
P2B11,444ANCB3,444,AN,89CI41 (g),Campylobacter concisus CHRB 2370,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter
P2B12,444ANCV5,444,AN,89CI09/89CI35 (g),Veillonella dispar,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2B2,444ANBT5,444,AN,89CI11/89CI32 (g),Actinomyces sp. PCH_185,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces
P2B3,444ANBT11,444,AN,89CI33 (g),Scardovia sp. Oral taxon 195 clone RA030,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia
P2B4,444MIDB5,444,MI,89CI45 (g),Streptococcus sp. HFH0004,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P2B5,444ANCV12,444,AN,89CI39 (g),Campylobacter concisus CHRB 2370,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter
P2B6,444ANCV11,444,AN,89CI38 (g),Veillonella dispar,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2B7,444ANBT4,444,AN,89CI31 (g),Gemella spp. ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XI; Gemella
P2B8,444ANCV6,444,AN,89CI36 (g)/89CJ41 (g),Veillonella parvula,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2B9,444ANCB2,444,AN,89CF40/89CI40 (g),Streptococcus parasanguinis / HFX0013 (same %ID and E-value),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P2C1,444MIDB4,444,MI,89CI44 (g),Gemella sanguinis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XI; Gemella
P2C10,473MIGC1,473,MI,85GH52 (NOT FULL LENGTH),Actinomyces sp. Oral Taxon 175 (eHOMD 99.0%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2C11,473MIGC2,473,MI,85GH53 ,Corynebacterium durum Oral Taxon 591 (eHOMD 99.3%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
